FID;TITULAR;N_PERT;N_CODIGOCE;ESPECIES;TOPONIMIO;T_ESTADOTR;T_GRUPOESP;SUPERFICIE;AGRUPCONCE;COMUNA;REGION;CartaGeogr;Datum;Huso;COORDENADA;N_RESOLSSP;F_RESOLSSP;N_RESOLSSF;F_RESOLSSF;TIPOPORC;ESTADO_UOT
47;MOWI CHILE S.A.;900000031;110118;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;BAHÍA CHACABUCO, AL SUR DE PUNTA WESTE;CONCESION OTORGADA;SALMONES;4,2;28B;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8610;WGS-84;18 SUR;"S 45°27´44.1500, W 72°50´31.8300

S 45°27´58.0900, W 72°50´25.2000

S 45°27´52.6000, W 72°50´35.4700

S 45°27´47.4700, W 72°50´35.4700";231;04-07-1983;36;31-01-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
48;EXPORTADORA LOS FIORDOS LTDA.;900000682;110058;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL PUYUGUAPI, AL SUROESTE DE PUNTA TRIGUEÑA, ISLA MAGDALENA;CONCESION OTORGADA;SALMONES;8;32;CISNES;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8500;WGS-84;18 SUR;"S 44°50´13.1600, W 72°59´58.5700

S 44°50´15.4300, W 72°59´50.0500

S 44°50´27.5700, W 72°59´56.4500

S 44°50´25.2900, W 73°0´4.9800";2022;20-12-1989;473;24-07-1992;AGUA Y FONDO;CONCESIÓN OTORGADA
49;EXPORTADORA LOS FIORDOS LTDA.;900000696;110070;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL PUYUGUAPI, AL NORESTE DE ISLOTE MARTA;CONCESION OTORGADA;SALMONES;8;32;CISNES;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8500;WGS-84;18 SUR;"S 44°47´40.9800, W 72°57´3.3700

S 44°47´42.6000, W 72°56´54.5600

S 44°47´55.1500, W 72°56´59.1300

S 44°47´53.5200, W 72°57´7.9400";246;14-02-1990;1626;17-11-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
50;DELIFISH FARMING SPA;900000218;100367;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL YAL, SECTOR ISLOTE  YAL;CONCESION OTORGADA;SALMONES;16;10B;CHONCHI;REGIÓN DE LOS LAGOS;SHOA-7370;WGS-84;18 SUR;"S 42°39´55.8600, W 73°41´3.6000

S 42°39´55.4500, W 73°40´28.4600

S 42°39´48.9700, W 73°40´28.6000

S 42°39´49.3800, W 73°41´3.7300";1043;04-09-1987;1220;19-12-1989;AGUA Y FONDO;CONCESIÓN OTORGADA
51;CERMAQ CHILE S.A.;900000091;100099;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL ABTAO, AL SUR DE PUNTA LILIHUE, ISLA ABTAO;CONCESION OTORGADA;SALMONES;18,65;3B;CALBUCO;REGIÓN DE LOS LAGOS;SHOA-7310;WGS-84;18 SUR;"S 41°48´19.6900, W 73°20´57.0600

S 41°48´13.6300, W 73°20´53.9700

S 41°48´24.4100, W 73°20´16.2200

S 41°48´30.4700, W 73°20´19.3100";503;05-05-1989;1581;12-12-2005;AGUA Y FONDO;CONCESIÓN OTORGADA
56;SALMONES AUSTRALES S.A.;900000538;110038;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;LAGO RIESCO, AL NORTE DE SECTOR LOS PINOS;SOLICITUD CON R(SSP) PROYECTO TECNICO APROBADO;SALMONES;19,76;;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;PLANO-XI-RIESCO-SSP;WGS-84;18 SUR;"S 45°29´14.3700, W 72°42´16.3400

S 45°29´9.8300, W 72°42´6.5400

S 45°29´30.8300, W 72°41´46.9000

S 45°29´35.3700, W 72°41´56.6900";355;27-01-2009;0;<Nulo>;AGUA Y FONDO;SOLICITUD ESPERA RESOLUCIÓN SS.FF.AA QUE OTORGA LA CONCESIÓN DE ACUICULTURA
57;SALMONES AUSTRALES S.A.;900000537;110037;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;LAGO RIESCO, AL OESTE DE SECTOR LOS PINOS;SOLICITUD CON R(SSP) PROYECTO TECNICO APROBADO;SALMONES;9,99;;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;PLANO-XI-RIESCO-SSP;WGS-84;18 SUR;"S 45°30´7.7900, W 72°42´38.5000

S 45°30´11.0100, W 72°42´34.8400

S 45°30´26.9100, W 72°43´3.1200

S 45°30´23.6900, W 72°43´6.7800";354;27-01-2009;0;<Nulo>;AGUA Y FONDO;SOLICITUD ESPERA RESOLUCIÓN SS.FF.AA QUE OTORGA LA CONCESIÓN DE ACUICULTURA
62;TRUSAL S.A.;900000828;101822;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO RELONCAVÍ, AL SUR DE PUNTA POCOIHUÉN;CONCESION OTORGADA;SALMONES;0,84;1;COCHAMO;REGIÓN DE LOS LAGOS;PLANO-DPC-209;WGS-84;18 SUR;"S 41°30´12.5500, W 72°19´35.4500

S 41°30´14.4900, W 72°19´35.4400

S 41°30´15.4700, W 72°19´41.4700

S 41°30´13.5300, W 72°19´41.4800";756;27-06-1991;879;07-12-1992;AGUA Y FONDO;CONCESIÓN OTORGADA
349;MOWI CHILE S.A.;900000855;101777;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHOLGA, CHORITO, CHORO, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUG;CANAL HUDSON, PUNTA COÑAO, ISLA QUINCHAO;CONCESION OTORGADA;SALMONES;10,5;10A;QUINCHAO;REGIÓN DE LOS LAGOS;SHOA-7370;WGS-84;18 SUR;"S 42°30´15.1400, W 73°31´34.8000

S 42°30´15.1700, W 73°31´21.6500

S 42°30´3.8300, W 73°31´21.6000

S 42°30´3.8000, W 73°31´34.7500";1076;02-09-1991;1929;29-12-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
366;GRANJA MARINA TORNAGALEONES S.A.;900000018;100304;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;RÍO TORNA GALEONES, AL NOROESTE DE SECTOR CANCAHUI;CONCESION OTORGADA;SALMONES;3,75;;CORRAL;REGIÓN DE LOS RÍOS;PLANO-XIV-03-SSP;WGS-84;18 SUR;"S 39°54´54.8700, W 73°20´0.5200

S 39°54´54.7800, W 73°19´54.2000

S 39°55´2.8800, W 73°19´54.0000

S 39°55´2.9700, W 73°20´0.3200";197;27-07-1982;413;17-05-1982;AGUA Y FONDO;CONCESIÓN OTORGADA
373;GRANJA MARINA TORNAGALEONES S.A.;900000011;100093;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;RÍO TORNA GALEONES, ENTRE PUNTA CLARO Y PUYEHUE, I;CONCESION OTORGADA;SALMONES;49,63;;CORRAL;REGIÓN DE LOS RÍOS;PLANO-XIV-03-SSP;WGS-84;18 SUR;"S 39°53´11.2100, W 73°22´39.6000

S 39°53´8.4100, W 73°22´29.5000

S 39°53´10.0800, W 73°22´9.3400

S 39°53´15.1200, W 73°22´4.2200

S 39°53´21.3700, W 73°21´43.1800

S 39°53´19.9200, W 73°21´34.9600

S 39°53´26.6800, W 73°21´24.640";1752;14-11-1989;1791;15-06-2015;AGUA Y FONDO;CONCESIÓN OTORGADA
374;SOCIEDAD DE INVERSIONES ISLA VICTORIA LTDA;200111133;110399;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, HUIRO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;CANAL WILLIAMS, ENTRE PUNTA ESPINOSA Y PUNTA MARCE;CONCESION OTORGADA;SALMONES;1,29;23C;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8720;WGS-84;18 SUR;"S 45°40´13.9800, W 74°32´8.4100

S 45°40´13.9600, W 74°32´3.7900

S 45°40´18.2000, W 74°32´10.7800

S 45°40´18.2100, W 74°32´15.4000";2524;07-11-2002;1727;02-12-2002;AGUA Y FONDO;CONCESIÓN OTORGADA
375;MULTI X S.A.;200111179;110425;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, HUIRO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;SURESTE DE ISLA JUAN;CONCESION OTORGADA;SALMONES;1,76;23C;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8720;WGS-84;18 SUR;"S 45°42´23.7100, W 74°28´14.2200

S 45°42´23.6900, W 74°28´9.5900

S 45°42´29.4400, W 74°28´13.8800

S 45°42´29.4600, W 74°28´18.5100";814;09-04-2003;1154;02-05-2003;AGUA Y FONDO;CONCESIÓN OTORGADA
376;PACIFIC SEAFOOD S.A.;201112061;110794;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO GOÑI, PENÍNSULA DE TAITAO;CONCESION OTORGADA;SALMONES;15;23C;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8720;WGS-84;18 SUR;"S 45°52´31.2200, W 74°34´23.3000

S 45°52´20.5400, W 74°34´0.0400

S 45°52´27.3100, W 74°33´53.6700

S 45°52´37.9900, W 74°34´16.9300";1296;14-04-2009;198;26-01-2010;AGUA Y FONDO;CONCESIÓN OTORGADA
377;EXPORTADORA LOS FIORDOS LTDA.;201111954;110804;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;ESTERO SIN NOMBRE, ISLA RIVERO;CONCESION OTORGADA;SALMONES;3;23C;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8720;WGS-84;18 SUR;"S 45°43´56.0200, W 74°27´16.0400

S 45°44´3.6400, W 74°27´7.4200

S 45°44´5.6600, W 74°27´11.0400

S 45°43´58.0400, W 74°27´19.6600";4231;30-12-2016;194;26-01-2010;AGUA Y FONDO;CONCESIÓN OTORGADA
378;INVERMAR S.A.;204111127;110833;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;PENÍNSULA DE TAITAO, AL OESTE DE ESTERO WALKER;CONCESION OTORGADA;SALMONES;19,38;23C;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8720;WGS-84;18 SUR;"S 45°54´19.0500, W 74°29´37.7200

S 45°54´19.4400, W 74°28´57.7500

S 45°54´26.6000, W 74°28´57.9300

S 45°54´26.4700, W 74°29´37.9100";3232;24-09-2009;1425;27-07-2010;AGUA Y FONDO;CONCESIÓN OTORGADA
380;COOKE AQUACULTURE CHILE S.A.;95110267;110229;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO CUPQUELAN, AL OESTE DE RÍO LAS MENTAS;CONCESION OTORGADA;SALMONES;1,5;25B;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8660;WGS-84;18 SUR;"S 46°13´57.3500, W 73°31´39.9700

S 46°13´57.2600, W 73°31´32.9700

S 46°14´0.5000, W 73°31´32.8900

S 46°14´0.5900, W 73°31´39.8900";405;11-03-1999;1570;30-07-1999;AGUA Y FONDO;CONCESIÓN OTORGADA
384;AUSTRALIS MAR S.A.;201111997;110848;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, HUIRO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;CANAL PULLUCHE, AL NORESTE DE PUNTA DEL BAJO, ISLA SALAS;CONCESION OTORGADA;SALMONES;3;23B;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8640;WGS-84;18 SUR;"S 45°44´46.5100, W 74°17´49.2000

S 45°44´44.7300, W 74°17´35.5500

S 45°44´41.5500, W 74°17´36.4000

S 45°44´43.3200, W 74°17´50.0500";2010;18-07-2012;1866;29-10-2010;AGUA Y FONDO;CONCESIÓN OTORGADA
385;AUSTRALIS MAR S.A.;201111857;110829;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, HUIRO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;CANAL UTARUPA, AL NORTE DE ISLOTE VÍCTOR, ISLA RIVERO;CONCESION OTORGADA;SALMONES;6;23B;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8640;WGS-84;18 SUR;"S 45°40´25.2100, W 74°11´33.4000

S 45°40´27.4100, W 74°11´27.2200

S 45°40´15.8600, W 74°11´18.8500

S 45°40´13.6600, W 74°11´25.0300";1063;10-03-2010;1530;10-08-2010;AGUA Y FONDO;CONCESIÓN OTORGADA
